System,Name,Year,ROM Name,Players,Joystick Input,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Dynamite Duke,1989,pinkswts,2,8 way,none,4,VERTICAL,Cave / AMI license,Yes,Yes,Maybe
arcade,"Dynamite Dux (set 3, World)",1988,pirates,2,8 way,none,3,HORIZONTAL,NIX,No,No,Yes
arcade,Dynasty Wars,1989,pitfall2,2,8 way,none,2,HORIZONTAL,SEGA,Yes,Yes,Maybe
arcade,"E-Swat: Cyber Police (set 4, World)",1989,pitfight,2,8 way,none,3,HORIZONTAL,Atari Games / Atari,Yes,Yes,Maybe
arcade,E.D.F.: Earth Defense Force,1991,pleiads,2,4 way,none,1,VERTICAL,Tehkan / Tehkan Ltd.,No,No,Yes
arcade,ESP Ra.De.,1998,polepos2,2,analog,none,1,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Eagle Shot Golf,1994,pooyan,2,4 way,trackball,1,VERTICAL,Konami / bootleg,No,No,Yes
arcade,Eco Fighters,1993,popeye,2,4 way,dial,1,HORIZONTAL,Nintendo,Yes,Yes,Maybe
arcade,Ehrgeiz,1998,poundfor,2,trackball,none,2,VERTICAL,Irem,No,No,Yes
arcade,Eight Ball Action,1984,pow,2,8 way,none,3,HORIZONTAL,SNK,No,No,Yes
arcade,Eight Forces,1994,prehisle,2,8 way,none,3,HORIZONTAL,SNK,No,No,Yes
arcade,Eight Man,1991,preisle2,2,8 way,none,4,HORIZONTAL NEOGEO,Yumekobo / Saurus,No,No,Yes
arcade,Elevator Action,1983,primrage,2,8 way,none,4,HORIZONTAL,Atari Games,Yes,Yes,Maybe
arcade,Elevator Action Returns,1994,progear,4,8 way,dial,3,HORIZONTAL,Cave / Capcom,Yes,Yes,Maybe
arcade,Empire City: 1931,1986,psychic5,2,8 way,none,2,VERTICAL,Jaleco / NMK,Yes,Yes,Maybe
arcade,"Empire Strikes Back, The",1985,psychos,1,8 way,stick,2,HORIZONTAL,SNK,Yes,Yes,Maybe
arcade,Enduro Racer,1986,pulstar,1,8 way,pedal / stick,4,HORIZONTAL NEOGEO,Aicom / SNK,Yes,Yes,Maybe
arcade,Enforce,1988,punchout,1,4 way,none,3,VERTICAL,Nintendo,No,No,Yes
arcade,Equites,1984,punisher,2,8 way,none,2,HORIZONTAL,Capcom,No,No,Yes
arcade,Escape Kids,1991,puzzli2,4,8 way,none,4,HORIZONTAL,IGS / Metro license,No,Yes,Maybe
arcade,Escape from the Planet of the Robot Monsters,1989,qbert,2,8 way,stick,0,VERTICAL,Gottlieb / D. Gottlieb & Co.,No,No,Yes
