System,Description,Year,ROM Name,Players,ctrlType,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Puchi Carat,1993,puchicar,2,8 way,none,4,HORIZONTAL,Taito,No,No,Yes
arcade,Punk Shot,1990,punkshot,2,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Pururun,1990,pururun,2,8 way,none,2,HORIZONTAL,Metro / Banpresto,No,Yes,Maybe
arcade,Puyo Puyo,2001,puyo,2,8 way,none,1,HORIZONTAL,Compile / SEGA,No,No,Yes
arcade,Puyo Puyo 2,1992,puyopuy2,2,8 way,none,2,HORIZONTAL,Compile / SEGA,No,No,Yes
arcade,Puzz Loop,1991,puzzloop,4,8 way,none,2,HORIZONTAL,Mitchell,No,No,Yes
arcade,Puzzle Bobble,1990,pbobblen,2,8 way,none,4,HORIZONTAL NEOGEO,Taito,No,Yes,Maybe
arcade,Puzzle Bobble 2,1987,pbobbl2n,2,8 way,none,4,HORIZONTAL NEOGEO,Taito / SNK license,Yes,Yes,Maybe
arcade,Puzzle De Bowling,1987,pzlbowl,2,8 way,none,3,HORIZONTAL,MOSS / Nihon System,Yes,Yes,Maybe
arcade,Puzzle De Pon!,1985,puzzledp,2,8 way,none,4,HORIZONTAL NEOGEO,Visco,Yes,Yes,Maybe
arcade,Puzzle De Pon! R!,1984,puzzldpr,2,8 way,none,4,HORIZONTAL NEOGEO,Visco,No,No,Yes
arcade,Puzzled,1995,joyjoy,1,8 way,lightgun,4,HORIZONTAL NEOGEO,SNK,No,Yes,Maybe
arcade,Puzzli,1992,puzzli,2,8 way,none,2,HORIZONTAL,Metro / Banpresto,No,No,Yes
arcade,Q*bert's Qubes,1982,qbertqub,2,8 way,none,0,VERTICAL,Mylstar,Yes,Yes,Maybe
arcade,QB-3,1984,qb3,2,twin stick,none,4,HORIZONTAL,Rock-Ola,Yes,Yes,Maybe
arcade,Quantum,1987,quantum,2,trackball,positional,0,VERTICAL,General Computer Corporation / Atari license,Yes,Yes,Maybe
arcade,R-Shark,1982,rshark,2,8 way,none,4,VERTICAL,Dooyong,No,No,Yes
arcade,Rabbit,1983,rabbit,2,8 way,none,4,HORIZONTAL,Aorn / Electronic Arts,No,No,Yes
arcade,Racing Hero,1993,rachero,4,analog,none,0,HORIZONTAL,SEGA,No,No,Yes
arcade,Rad Rally,1992,radr,2,analog,none,1,HORIZONTAL,SEGA,No,No,Yes
arcade,Radical Radial,1989,radrad,2,8 way,none,2,HORIZONTAL,Nichibutsu USA,Yes,Yes,Maybe
arcade,Radikal Bikers,1987,radikalb,2,4 way,none,3,HORIZONTAL,Gaelco,No,No,Yes
arcade,Ragnagard,1986,ragnagrd,2,8 way,none,4,HORIZONTAL NEOGEO,Saurus,Yes,Yes,Maybe
arcade,Raiden 2,1988,raiden2,2,8 way,only_buttons,2,VERTICAL,Seibu Kaihatsu / Fabtek license,Yes,Yes,Maybe
arcade,Raiga: Strato Fighter,1994,stratof,2,8 way,none,2,HORIZONTAL,Tecmo,No,No,Yes
arcade,Rail Chase,1990,rchase,2,lightgun,none,1,HORIZONTAL,SEGA,No,No,Yes
arcade,Raimais,1993,raimais,4,8 way,dial,2,HORIZONTAL,Taito,No,No,Yes
arcade,Rainbow Islands: Extra Version,1987,rbislande,1,4 way,pedal / paddle / dial,2,HORIZONTAL,Taito,No,No,Yes
arcade,Rastan,1996,rastan,2,8 way,none,2,HORIZONTAL,Taito,No,No,Yes
arcade,Ray Crisis,1992,raycris,2,8 way,none,3,HORIZONTAL,Taito,Yes,Yes,Maybe
arcade,Ray Crisis,1989,raycrisis,2,8 way,none,3,HORIZONTAL,Taito,No,No,Yes
arcade,Ray Storm,1996,raystorm,2,8 way,none,3,HORIZONTAL,Taito,No,No,Yes
arcade,Razzmatazz,1984,razmataz,2,analog,none,1,VERTICAL,SEGA,No,No,Yes
arcade,Reactor,1983,reactor,4,trackball,only_buttons,2,HORIZONTAL,Gottlieb,Yes,Yes,Maybe
arcade,Real Bout Fatal Fury,1986,rbff1,1,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Real Bout Fatal Fury 2: The Newcomers,1983,rbff2,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,Yes,Yes,Maybe
arcade,"Real Ghostbusters, The",1987,ghostb3,2,8 way,none,2,HORIZONTAL,Data East / Activision,No,No,Yes
arcade,Red Alert,1987,redalert,2,4 way,none,1,VERTICAL,Irem / GDI license,No,No,Yes
arcade,Red Baron,1989,redbaron,2,analog,none,1,HORIZONTAL,Atari,No,No,Yes
arcade,Regulus,1990,regulus,4,8 way,none,2,VERTICAL,SEGA,Yes,Yes,Maybe
arcade,Reikai Doushi,1986,reikaids,2,8 way,none,3,HORIZONTAL,Home Data,Yes,Yes,Maybe
arcade,Relief Pitcher,1982,relief,2,8 way,dial,3,HORIZONTAL,Atari Games,Yes,Yes,Maybe
arcade,Repulse,1983,repulse,2,8 way,none,2,VERTICAL,Crux / SEGA,Yes,Yes,Maybe
arcade,"Return of Ishtar, The",1988,roishtar,2,twin stick,none,2,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Return of the Invaders,1992,retofinv,2,4 way,none,1,VERTICAL,Taito,No,Yes,Maybe
arcade,Ribbit!,1984,ribbit,2,8 way,none,0,HORIZONTAL,SEGA,No,No,Yes
arcade,Riding Fight,1991,ridingf,2,8 way,none,4,HORIZONTAL,Taito,No,No,Yes
arcade,Riding Hero,1981,ridhero,1,8 way,dial,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Rim Rockin' Basketball,1991,rimrockn,3,8 way,none,2,HORIZONTAL,Strata/Incredible Technologies,No,No,Yes
arcade,Ring King,1989,ringking,1,8 way,pedal / paddle,3,VERTICAL,Woodplace Inc. / Data East,No,Yes,Maybe
arcade,Ring Rage,1984,ringrage,1,8 way,stick,4,HORIZONTAL,Taito,No,No,Yes
arcade,Rip Off,1988,ripoff,2,4 way,none,2,HORIZONTAL,Cinematronics,No,No,Yes
arcade,Risky Challenge,1981,riskchal,2,8 way,none,2,HORIZONTAL,Irem,No,No,Yes
arcade,River Patrol,1982,rpatrol,2,4 way,none,1,HORIZONTAL,Orca,Yes,Yes,Maybe
arcade,Rock'n Rage,1995,rockrage,2,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Roller Jammer,1995,rjammer,4,8 way,none,3,HORIZONTAL,Nichibutsu / Alice,No,No,Yes
arcade,Rollergames,1987,rollerg,2,8 way,none,2,HORIZONTAL,Konami,Yes,Yes,Maybe
arcade,"Rompers (Japan, new version",1995,rompers,4,8 way,dial,3,VERTICAL,Namco,No,No,Yes
arcade,Rough Racer,1994,roughrac,2,8 way,none,3,HORIZONTAL,SEGA,No,Yes,Maybe
arcade,Ryu Jin,1988,ryujin,2,8 way,none,3,VERTICAL,Taito,Yes,Yes,Maybe
arcade,S.R.D. Mission,1989,srdmissn,2,8 way,none,2,VERTICAL,Kyugo / Taito,No,No,Yes
arcade,S.S. Mission,1989,ssmissin,2,8 way,none,2,VERTICAL,Comad,No,No,Yes
arcade,SD Fighters,1995,sdfight,4,8 way,dial,3,HORIZONTAL,SemiCom / Tirano,No,No,Yes
arcade,SD Gundam Neo Battling,1985,neobattl,2,8 way,none,1,VERTICAL,Banpresto / Sotsu Agency. Sunrise,No,Yes,Maybe
arcade,SD Gundam Psycho Salamander no Kyoui,1997,sdgndmps,2,8 way,none,2,HORIZONTAL,Banpresto / Bandai,No,No,Yes
arcade,Saboten Bombers,1996,sabotenb,2,8 way,none,2,HORIZONTAL,NMK / Tecmo,No,No,Yes
arcade,Saint Dragon,1990,stdragon,2,8 way,none,2,HORIZONTAL,Jaleco / NMK,Yes,Yes,Maybe
arcade,Samurai Aces,1993,samuraia,2,8 way,none,3,VERTICAL,Psikyo / Banpresto license,No,No,Yes
arcade,Samurai Nihon-Ichi,1989,tsamurai,2,4 way,none,2,VERTICAL,Kaneko / Taito,Yes,Yes,Maybe
arcade,Samurai Spirits Tenkaichi Kenkakuden,1988,samsptk,4,8 way,none,6,HORIZONTAL,Sammy / SNK Playmore,No,No,Yes
arcade,Sand Scorpion,1990,sandscrp,2,8 way,none,2,VERTICAL,Face,Yes,Yes,Maybe
arcade,Schmeiser Robo,1986,schmeisr,2,8 way,none,3,HORIZONTAL,Hot-B,No,No,Yes
arcade,Scramble Spirits,1996,sspirits,2,8 way,none,3,VERTICAL,SEGA,No,No,Yes
arcade,Sea Wolf,1994,seawolf,2,analog,none,1,HORIZONTAL,Dave Nutting Associates / Midway,Yes,Yes,Maybe
arcade,SegaSonic The Hedgehog,1993,sonic,2,trackball,none,1,HORIZONTAL,SEGA,No,No,Yes
arcade,SegaSonic The Hedgehog,1995,sonicp,2,trackball,none,1,HORIZONTAL,SEGA,No,Yes,Maybe
arcade,Seicross,1991,seicross,2,8 way,none,1,VERTICAL,Nichibutsu / Alice,No,No,Yes
arcade,Sel Feena,1992,selfeena,2,8 way,none,3,HORIZONTAL,East Technology,No,No,Yes
arcade,Senjyo,2005,senjyo,2,8 way,none,1,VERTICAL,Tehkan,No,Yes,Maybe
arcade,Shackled,1992,shackled,3,8 way,none,2,HORIZONTAL,Data East,No,Yes,Maybe
arcade,Shikigami no Shiro,1980,shikigam,2,8 way,none,3,VERTICAL,Alfa System / Taito,No,No,Yes
arcade,Shingen Samurai-Fighter,1983,tshingen,2,8 way,none,3,HORIZONTAL,Jaleco,Yes,Yes,Maybe
arcade,Shogun Warriors,1989,shogwarr,2,8 way,none,4,HORIZONTAL,Kaneko,No,No,Yes
arcade,Shoot Out,1986,shootout,2,8 way,none,2,HORIZONTAL,Data East,No,No,Yes
