System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers
arcade,evilston,Evil Stone,,,,,,,,,,VERTICAL,1990,2,4 way,2,Other,joy4way,,"Spacy Industrial, Ltd."
arcade,evosocc,Evolution Soccer,,,,,,,,,,HORIZONTAL,2001,4,8 way,4,Other,joy8way,,Evoga
arcade,explbrkr,Explosive Breaker,,,,,,,,,,VERTICAL,1992,2,8 way,2,Other,joy8way,,Kaneko
arcade,extrmatn,Extermination,,,,,,,,,,VERTICAL,1987,2,8 way,2,Taito,joy8way,,Taito
arcade,exterm,Exterminator,,,,,,,,,,HORIZONTAL,1989,2,8 way,2,Other,joy8way,dial,Gottlieb / Premier Technology
arcade,extdwnhl,Extreme Downhill,,,,,,,,,,HORIZONTAL,1995,2,4 way,1,Other,joy2way,,Sammy Industries Japan / Sammy Studios
arcade,exvania,Exvania,,,,,,,,,,HORIZONTAL,1992,4,8 way,3,Namco,joy8way,,Namco
arcade,exzisus,Exzisus,,,,,,,,,,HORIZONTAL,1987,2,8 way,2,Taito,joy8way,,Taito
arcade,f1gp,F-1 Grand Prix,,,,,,,,,,VERTICAL,1991,1,analog,2,Other,joy2way,stick,Video System Co.
arcade,f1gp2,F-1 Grand Prix Part 2,,,,,,,,,,VERTICAL,1992,1,analog,3,Other,joy2way,stick,Video System Co.
arcade,f1gpstr2,F-1 Grand Prix Star 2,,,,,,,,,,HORIZONTAL,1993,1,analog,2,Other,,pedal / paddle,Jaleco
arcade,f1en,F1 Exhaust Note,,,,,,,,,,HORIZONTAL,1991,2,analog,2,SEGA,,pedal / paddle,SEGA
arcade,f1lap,F1 Super Lap,,,,,,,,,,HORIZONTAL,1993,1,analog,3,SEGA,,pedal / paddle,SEGA
arcade,flstory,"FairyLand Story, The",,,,,,,,,,HORIZONTAL,1985,2,4 way,2,Taito,joy2way,,Taito
arcade,daraku,"Fallen Angels (World), The",,,,,,,,,,HORIZONTAL,1998,2,8 way,4,Psikyo,joy8way,,Psikyo / Steel Hearts
arcade,fantjour,Fantastic Journey,,,,,,,,,,HORIZONTAL,1994,4,8 way,3,Konami,joy8way,,Konami
arcade,fantland,Fantasy Land,,,,,,,,,,HORIZONTAL,null,2,8 way,2,Other,joy8way,,Electronic Devices Italy
arcade,fantzn2,Fantasy Zone 2: The Tears of Opa-Opa,,,,,,,,,,HORIZONTAL,1988,1,8 way,2,SEGA,joy8way,,SEGA
arcade,fastlane,Fast Lane,,,,,,,,,,VERTICAL,1987,2,8 way,2,Konami,joy8way,,Konami
arcade,fatfury2,Fatal Fury 2,,,,,,,,,,HORIZONTAL NEOGEO,1992,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,fatfury3,Fatal Fury 3: Road to the Final Victory,,,,,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,fatfury1,Fatal Fury: King of Fighters,,,,,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,feversos,Fever SOS,,,,,,,,,,VERTICAL,1998,2,8 way,3,Cave,joy8way,,Cave / Nihon System license
arcade,fightfev,Fight Fever,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Viccom
arcade,fghtatck,Fighter & Attacker,,,,,,,,,,VERTICAL,1992,4,8 way,3,Namco,joy8way,,Namco
arcade,fghthist,Fighter's History,,,,,,,,,,HORIZONTAL,1993,2,8 way,6,Data East,joy8way,,Data East
arcade,ffreveng,Final Fight Revenge,,,,,,,,,,HORIZONTAL,1999,2,8 way,6,Capcom,joy8way,,Capcom
arcade,finallap,Final Lap,,,,,,,,,,HORIZONTAL,1987,1,analog,1,Namco,,pedal / paddle,Namco
arcade,fstarfrc,Final Star Force,,,,,,,,,,VERTICAL,1992,2,8 way,2,Tecmo,joy8way,,Tecmo
arcade,finalizr,Finalizer: Super Transformation,,,,,,,,,,VERTICAL,1985,2,8 way,2,Konami,joy8way,,Konami
